theme,url,img,lines,author
CIVILITY,/inspirational-quotes/7715-practice-civility-toward-one-another-admire,https://assets.passiton.com/quotes/quote_artwork/7715/medium/20201105_thursday_quote.jpg?1604081275,"Practice civility toward one another. Admire and emulate ethical behavior wherever you find it. Apply a rigid standard of morality to your lives; and if, periodically, you fail as you surely will, ­adjust your lives, not the standards. ",<Author:0x00007f7a409260f0>
CIVILITY,/inspirational-quotes/8152-dont-ever-forget-that-youre-a-citizen-of-this,https://assets.passiton.com/quotes/quote_artwork/8152/medium/20201104_wednesday_quote.jpg?1604081252,"Don't ever forget that you're a citizen of this world, and there are things you can do to lift the human spirit, things that are easy, things that are free, things that you can do every day: civility, respect, kindness, character.",<Author:0x00007f7a40977cc0>
CIVILITY,/inspirational-quotes/7711-civility-is-the-art-and-act-of-caring-for-others,https://assets.passiton.com/quotes/quote_artwork/7711/medium/20201103_tuesday_quote.jpg?1604081224,Civility is the art and act of caring for others.,<Author:0x00007f7a409ba9d0>
CIVILITY,/inspirational-quotes/7712-genuine-tolerance-does-not-mean-ignoring,https://assets.passiton.com/quotes/quote_artwork/7712/medium/20201102_monday_quote.jpg?1604081195,Genuine tolerance does not mean ignoring differences as if differences made no difference. Genuine tolerance means engaging differences within a bond of civility and respect.,<Author:0x00007f7a40a3b788>
MAKING A DIFFERENCE,/inspirational-quotes/3493-you-must-be-the-change-you-wish-to-see-in-the,https://assets.passiton.com/quotes/quote_artwork/3493/medium/20201030_friday_quote.jpg?1603383782,You must be the change you wish to see in the world.,<Author:0x00007f7a40a8e898>
MAKING A DIFFERENCE,/inspirational-quotes/8150-but-where-was-i-to-start-the-world-is-so-vast,https://assets.passiton.com/quotes/quote_artwork/8150/medium/20201029_thursday_quote.jpg?1603383758,"But where was I to start? The world is so vast, I shall start with the country I know best, my own. But my country is so very large. I had better start with my town. But my town too, is large. I had best start with my street. No: my home. No: my family. Never mind, I shall start with myself.",<Author:0x00007f7a40afa070>
MAKING A DIFFERENCE,/inspirational-quotes/8149-each-one-of-us-can-make-a-difference-together,https://assets.passiton.com/quotes/quote_artwork/8149/medium/20201026_monday_quote.jpg?1603383688,Each one of us can make a difference. Together we make a change.,<Author:0x00007f7a40b39130>
MAKING A DIFFERENCE,/inspirational-quotes/4128-in-this-life-we-cannot-always-do-great-things,https://assets.passiton.com/quotes/quote_artwork/4128/medium/20201028_wednesday_quote.jpg?1603383733,In this life we cannot always do great things. But we can do small things with great love.,<Author:0x00007f7a40ba1668>
MAKING A DIFFERENCE,/inspirational-quotes/6826-we-do-not-need-magic-to-transform-our-world-we,https://assets.passiton.com/quotes/quote_artwork/6826/medium/20201027_tuesday_quote.jpg?1603383711,We do not need magic to transform our world. We carry all the power we need inside ourselves already. We have the power to imagine better.,<Author:0x00007f7a40bf7090>
HARD WORK,/inspirational-quotes/3752-the-only-place-success-comes-before-work-is-in,https://assets.passiton.com/quotes/quote_artwork/3752/medium/20201023_friday_quote_update.jpg?1602883670,The only place success comes before work is in the dictionary.,<Author:0x00007f7a40c3ac50>
HARD WORK,/inspirational-quotes/7750-a-dream-doesnt-become-reality-through-magic-it,https://assets.passiton.com/quotes/quote_artwork/7750/medium/20201022_thursday_quote_update.jpg?1602883540,"A dream doesn't become reality through magic; it takes sweat, determination, and hard work.",<Author:0x00007f7a40c68ee8>
HARD WORK,/inspirational-quotes/8147-work-hard-at-work-worth-doing,https://assets.passiton.com/quotes/quote_artwork/8147/medium/20201021_wednesday_quote.jpg?1602872491,Work hard at work worth doing. ,<Author:0x00007f7a40c982d8>
HARD WORK,/inspirational-quotes/8146-the-only-limit-to-the-height-of-your,https://assets.passiton.com/quotes/quote_artwork/8146/medium/20201020_tuesday_quote.jpg?1602872463,The only limit to the height of your achievements is the reach of your dreams and your willingness to work hard for them.,<Author:0x00007f7a40cf20f8>
HARD WORK,/inspirational-quotes/4704-work-hard-be-kind-and-amazing-things-will,https://assets.passiton.com/quotes/quote_artwork/4704/medium/20201019_monday_quote.jpg?1602872415,"Work hard, be kind, and amazing things will happen.",<Author:0x00007f7a40d22f00>
SMILE,/inspirational-quotes/8145-if-you-see-someone-without-a-smile-give-them,https://assets.passiton.com/quotes/quote_artwork/8145/medium/20201016_friday_quote.jpg?1602195654,"If you see someone without a smile, give them one of yours.",<Author:0x00007f7a40d6f3f0>
SMILE,/inspirational-quotes/8144-a-simple-smile-that-s-the-start-of-opening,https://assets.passiton.com/quotes/quote_artwork/8144/medium/20201015_thursday_quote.jpg?1602195631,A simple smile. That’s the start of opening your heart and being compassionate to others.,<Author:0x00007f7a40da4550>
SMILE,/inspirational-quotes/6258-a-smile-is-a-curve-that-sets-everything-straight,https://assets.passiton.com/quotes/quote_artwork/6258/medium/20201014_wednesday_quote.jpg?1602261766,A smile is a curve that sets everything straight. ,<Author:0x00007f7a40e1b718>
SMILE,/inspirational-quotes/7529-let-us-always-meet-each-other-with-smile-for,https://assets.passiton.com/quotes/quote_artwork/7529/medium/20201013_tuesday_quote_alt.jpg?1602262692,"Let us always meet each other with smile, for the smile is the beginning of love.",<Author:0x00007f7a40e52d58>
SMILE,/inspirational-quotes/7044-what-sunshine-is-to-flowers-smiles-are-to,https://assets.passiton.com/quotes/quote_artwork/7044/medium/20201012_monday_quote_alt.jpg?1602261408,"What sunshine is to flowers, smiles are to humanity.",<Author:0x00007f7a40ea3e88>
SELF-CARE,/inspirational-quotes/8143-anytime-we-can-listen-to-our-true-self-and-give,https://assets.passiton.com/quotes/quote_artwork/8143/medium/20201009_friday_quote_updated.jpg?1601662411,"Anytime we can listen to our true self and give the care it requires, we do it not only for ourselves, but for the many others whose lives we touch. ",<Author:0x00007f7a41e16eb0>
SELF-CARE,/inspirational-quotes/8142-when-you-recover-or-discover-something-that,https://assets.passiton.com/quotes/quote_artwork/8142/medium/20201008_thursday_quote.jpg?1601592469,"When you recover or discover something that nourishes your soul and brings joy, care enough about yourself to make room for it in your life.",<Author:0x00007f7a41ef4a80>
SELF-CARE,/inspirational-quotes/8141-it-s-not-selfish-to-love-yourself-take-care-of,https://assets.passiton.com/quotes/quote_artwork/8141/medium/20201007_wednesday_quote.jpg?1601592441,"It’s not selfish to love yourself, take care of yourself, and to make your happiness a priority. It’s necessary.",<Author:0x00007f7a41f39fb8>
SELF-CARE,/inspirational-quotes/8140-when-you-take-care-of-yourself-you-re-a-better,https://assets.passiton.com/quotes/quote_artwork/8140/medium/20201006_tuesday_quote.jpg?1601592416,"When you take care of yourself, you’re a better person for others. When you feel good about yourself, you treat others better. ",<Author:0x00007f7a421bae18>
SELF-CARE,/inspirational-quotes/8139-self-care-is-a-deliberate-choice-to-gift,https://assets.passiton.com/quotes/quote_artwork/8139/medium/20201005_monday_quote.jpg?1601592383,"Self-care is a deliberate choice to gift yourself with people, places, things, events, and opportunities that recharge our personal battery and promote whole health — body, mind, and spirit.",<Author:0x00007f7a421d8fd0>
EMPATHY,/inspirational-quotes/8138-leadership-is-about-empathy-it-is-about-having,https://assets.passiton.com/quotes/quote_artwork/8138/medium/20201002_friday_quote.jpg?1600981679,Leadership is about empathy. It is about having the ability  to relate to and connect with people for the purpose of inspiring and empowering their lives.,<Author:0x00007f7a422a19f8>
EMPATHY,/inspirational-quotes/8135-the-nature-of-humanity-its-essence-is-to-feel,https://assets.passiton.com/quotes/quote_artwork/8135/medium/20201001_thursday_quote.jpg?1600975693,"The nature of humanity, its essence, is to feel another’s pain as one’s own, and to act to take that pain away. There is a nobility in compassion, a beauty in empathy, a grace in forgiveness.",<Author:0x00007f7a422da4b0>
EMPATHY,/inspirational-quotes/8136-empathy-is-the-starting-point-for-creating-a,https://assets.passiton.com/quotes/quote_artwork/8136/medium/20200930_wednesday_quote.jpg?1600975670,Empathy is the starting point for creating a community and taking action. It’s the impetus for creating change.,<Author:0x00007f7a42314228>
EMPATHY,/inspirational-quotes/8137-empathy-is-simply-listening-holding-space,https://assets.passiton.com/quotes/quote_artwork/8137/medium/20201002_friday_quote.jpg?1600975717,"Empathy is simply listening, holding space, withholding judgment, emotionally connecting, and communicating that incredibly healing message of ‘you are not alone’.",<Author:0x00007f7a42355bd8>
EMPATHY,/inspirational-quotes/8133-empathy-is-seeing-with-the-eyes-of-another,https://assets.passiton.com/quotes/quote_artwork/8133/medium/20200928_monday_quote.jpg?1600975626,"Empathy is seeing with the eyes of another, listening with the ears of another, and feeling with the heart of another. – Alfred Adler",<Author:0x00007f7a42394108>
GET OUTSIDE,/inspirational-quotes/7125-the-cure-for-anything-is-salt-water-tears,https://assets.passiton.com/quotes/quote_artwork/7125/medium/20200925_friday_quote.jpg?1600453720,"The cure for anything is salt water—tears, sweat, or the sea.

",<Author:0x00007f7a423d2700>
GET OUTSIDE,/inspirational-quotes/8132-now-i-know-the-secret-of-making-the-best,https://assets.passiton.com/quotes/quote_artwork/8132/medium/20200924_thursday_quote.jpg?1600453544,Now I know the secret of making the best persons; it is to grow in the open air and to eat and sleep with the Earth.,<Author:0x00007f7a4240e110>
GET OUTSIDE,/inspirational-quotes/8131-i-firmly-believe-that-nature-brings-solace-in,https://assets.passiton.com/quotes/quote_artwork/8131/medium/20200923_wednesday_quote.jpg?1600453521,I firmly believe that nature brings solace in all troubles.,<Author:0x00007f7a4243cc68>
